,start_at,volume,open,high,low,close,turnover,year,month,day,hour,weekday
1003,1581984000,747.95,9597.0,9999.0,9000.0,9600.0,7180320.0,2020,2,18,8,1.0
1004,1581998400,0.0,9600.0,9600.0,9600.0,9600.0,0.0,2020,2,18,12,1.0
1005,1582012800,0.0,9600.0,9600.0,9600.0,9600.0,0.0,2020,2,18,16,1.0
1006,1582027200,0.0,9600.0,9600.0,9600.0,9600.0,0.0,2020,2,18,20,1.0
1007,1582041600,0.0,9600.0,9600.0,9600.0,9600.0,0.0,2020,2,19,0,2.0
1008,1582056000,0.0,9600.0,9600.0,9600.0,9600.0,0.0,2020,2,19,4,2.0
1009,1582070400,2.205,9600.0,20000.0,9600.0,11300.0,24916.5,2020,2,19,8,2.0
1010,1582084800,85.669,11300.0,20000.0,10067.5,10067.5,862472.6575,2020,2,19,12,2.0
1011,1582099200,215.975,10067.5,10212.5,10039.0,10208.0,2204672.8,2020,2,19,16,2.0
1012,1582113600,845.485,10208.0,10249.0,10086.5,10135.0,8568990.475,2020,2,19,20,2.0
1013,1582128000,476.036,10135.0,10265.5,10122.5,10161.0,4837001.796,2020,2,20,0,3.0
1014,1582142400,2629.251,10161.0,10161.0,9384.0,9603.0,25248697.353,2020,2,20,4,3.0
1015,1582156800,991.401,9603.0,9647.0,9522.0,9568.5,9486220.4685,2020,2,20,8,3.0
1016,1582171200,633.015,9568.5,9615.0,9550.0,9604.0,6079476.06,2020,2,20,12,3.0
1017,1582185600,970.043,9604.0,9630.0,9546.0,9579.5,9292526.9185,2020,2,20,16,3.0
1018,1582200000,354.619,9579.5,9604.5,9539.0,9584.5,3398845.8055,2020,2,20,20,3.0
1019,1582214400,1885.794,9584.5,9665.5,9438.5,9535.5,17981988.687,2020,2,21,0,4.0
1020,1582228800,463.943,9535.5,9637.0,9535.5,9602.5,4455012.6575,2020,2,21,4,4.0
1021,1582243200,544.976,9602.5,9696.5,9584.5,9690.0,5280817.44,2020,2,21,8,4.0
1022,1582257600,374.263,9690.0,9725.0,9660.0,9677.0,3621743.051,2020,2,21,12,4.0
